source,author,title,description,content,published_at,text,clean_text,sentiment,sentiment_score,date,emotion,emotion_score,Bigram_sadness,Frequency_sadness,Bigram_joy,Frequency_joy,Bigram_anger,Frequency_anger
Dezeen,Tom Ravenscroft,This week we revealed Jaguar's new brand identity,"This week on Dezeen, British car brand Jaguar unveiled a rebrand to mark the company's move to electric-only cars. The car company released a word mark that Jaguar's in-house design team said ""seamlessly blended upper and lowercase characters"" along with an u…","This week on Dezeen, British car brand Jaguar unveiled a rebrand to mark the company's move to electric-only cars.
The car company released a word mark that Jaguar's in-house design team said ""seaml… [+2464 chars]",2024-11-23T06:00:46Z,"This week we revealed Jaguar's new brand identity This week on Dezeen, British car brand Jaguar unveiled a rebrand to mark the company's move to electric-only cars. The car company released a word mark that Jaguar's in-house design team said ""seamlessly blended upper and lowercase characters"" along with an u… This week on Dezeen, British car brand Jaguar unveiled a rebrand to mark the company's move to electric-only cars.
The car company released a word mark that Jaguar's in-house design team said ""seaml… [+2464 chars]",This week we revealed Jaguars new brand identity This week on Dezeen British car brand Jaguar unveiled a rebrand to mark the companys move to electriconly cars The car company released a word mark that Jaguars inhouse design team said seamlessly blended upper and lowercase characters along with an u This week on Dezeen British car brand Jaguar unveiled a rebrand to mark the companys move to electriconly cars The car company released a word mark that Jaguars inhouse design team said seaml 2464 chars,Neutral,0.761532664299011,2024-11-23,neutral,0.765754222869873,cenk uygur,4,jaguars new,6,new logo,14
HYPEBEAST,info@hypebeast.com (Hypebeast),Jaguar Unveils Brand Overhaul to Mark All-Electric Transition,"This week Jaguar unveiled its forthcoming rebrand to accompany its push toward all-electric vehicle manufacturing. The auto brand has described its new philosophy as ""Exuberant Modernism"" characterized by ""bold designs, unexpected and original thinking.""The n…",This week Jaguar unveiled its forthcoming rebrand to accompany its push toward all-electric vehicle manufacturing. The auto brand has described its new philosophy as “Exuberant Modernism” characteriz… [+1521 chars],2024-11-22T16:11:38Z,"Jaguar Unveils Brand Overhaul to Mark All-Electric Transition This week Jaguar unveiled its forthcoming rebrand to accompany its push toward all-electric vehicle manufacturing. The auto brand has described its new philosophy as ""Exuberant Modernism"" characterized by ""bold designs, unexpected and original thinking.""The n… This week Jaguar unveiled its forthcoming rebrand to accompany its push toward all-electric vehicle manufacturing. The auto brand has described its new philosophy as “Exuberant Modernism” characteriz… [+1521 chars]",Jaguar Unveils Brand Overhaul to Mark AllElectric Transition This week Jaguar unveiled its forthcoming rebrand to accompany its push toward allelectric vehicle manufacturing The auto brand has described its new philosophy as Exuberant Modernism characterized by bold designs unexpected and original thinkingThe n This week Jaguar unveiled its forthcoming rebrand to accompany its push toward allelectric vehicle manufacturing The auto brand has described its new philosophy as Exuberant Modernism characteriz 1521 chars,Neutral,0.653066217899323,2024-11-22,joy,0.793510437011719,customer troubled,3,jaguar unveiled,4,jaguar rebrand,14
Jalopnik,Owen Bellwood,What’s The Worst Automotive Rebrand Of All Time?,"I don’t know if you saw the news this week, but British marque Jaguar unveiled a fresh new look ahead of the launch of its new battery-powered cars and people on the internet had some opinions about the refresh. Personally, I think it looks alright, it’s a bi…","I dont know if you saw the news this week, but British marque Jaguar unveiled a fresh new look ahead of the launch of its new battery-powered cars and people on the internet had some opinions about t… [+1476 chars]",2024-11-22T14:15:00Z,"What’s The Worst Automotive Rebrand Of All Time? I don’t know if you saw the news this week, but British marque Jaguar unveiled a fresh new look ahead of the launch of its new battery-powered cars and people on the internet had some opinions about the refresh. Personally, I think it looks alright, it’s a bi… I dont know if you saw the news this week, but British marque Jaguar unveiled a fresh new look ahead of the launch of its new battery-powered cars and people on the internet had some opinions about t… [+1476 chars]",Whats The Worst Automotive Rebrand Of All Time I dont know if you saw the news this week but British marque Jaguar unveiled a fresh new look ahead of the launch of its new batterypowered cars and people on the internet had some opinions about the refresh Personally I think it looks alright its a bi I dont know if you saw the news this week but British marque Jaguar unveiled a fresh new look ahead of the launch of its new batterypowered cars and people on the internet had some opinions about t 1476 chars,Positive,0.564170002937317,2024-11-22,disgust,0.593901574611664,going sad,3,say jaguars,3,elon musk,14
Al Jazeera English,Erin Hale,"‘Do you sell cars?’: Jaguar’s rebrand prompts mockery, confusion online","British luxury automaker's advertising campaign features models of varying ages, genders and races - but no cars.","British luxury carmaker Jaguar is under fire over a colourful new advertising campaign that promotes inclusivity but lacks one key ingredient any reference to cars.
Released across multiple social m… [+4151 chars]",2024-11-21T06:10:03Z,"‘Do you sell cars?’: Jaguar’s rebrand prompts mockery, confusion online British luxury automaker's advertising campaign features models of varying ages, genders and races - but no cars. British luxury carmaker Jaguar is under fire over a colourful new advertising campaign that promotes inclusivity but lacks one key ingredient any reference to cars.
Released across multiple social m… [+4151 chars]",Do you sell cars Jaguars rebrand prompts mockery confusion online British luxury automakers advertising campaign features models of varying ages genders and races but no cars British luxury carmaker Jaguar is under fire over a colourful new advertising campaign that promotes inclusivity but lacks one key ingredient any reference to cars Released across multiple social m 4151 chars,Negative,0.630758762359619,2024-11-21,neutral,0.413878351449966,british car,3,campaign people,3,luxury car,14
Creative Bloq,Daniel John,‘It completely misunderstands what a brand is’: A branding expert weighs in on Jaguar’s controversial new look.,We talk to JKR’s Lee Rolston about the year’s most contentious rebrand.,"If you didn't hear the news that Jaguar has rebranded when the new identity dropped at the start of this week, you probably have now. With not one, but three radical new logos, the new look is alread… [+2853 chars]",2024-11-21T12:05:46Z,"‘It completely misunderstands what a brand is’: A branding expert weighs in on Jaguar’s controversial new look. We talk to JKR’s Lee Rolston about the year’s most contentious rebrand. If you didn't hear the news that Jaguar has rebranded when the new identity dropped at the start of this week, you probably have now. With not one, but three radical new logos, the new look is alread… [+2853 chars]",It completely misunderstands what a brand is A branding expert weighs in on Jaguars controversial new look We talk to JKRs Lee Rolston about the years most contentious rebrand If you didnt hear the news that Jaguar has rebranded when the new identity dropped at the start of this week you probably have now With not one but three radical new logos the new look is alread 2853 chars,Neutral,0.520533382892609,2024-11-21,neutral,0.697432518005371,rebrand going,3,spot aired,3,car brand,12
Creative Bloq,Daniel John,The Jaguar rebrand is already the most divisive of 2024,Even Elon Musk is mocking the new look.,"Car rebrands are always big news in design circles, particularly when they involve brand new logos. So when Jaguar yesterday debuted not one, but three new designs, comprising a wordmark, monogram an… [+1952 chars]",2024-11-20T10:26:49Z,"The Jaguar rebrand is already the most divisive of 2024 Even Elon Musk is mocking the new look. Car rebrands are always big news in design circles, particularly when they involve brand new logos. So when Jaguar yesterday debuted not one, but three new designs, comprising a wordmark, monogram an… [+1952 chars]",The Jaguar rebrand is already the most divisive of 2024 Even Elon Musk is mocking the new look Car rebrands are always big news in design circles particularly when they involve brand new logos So when Jaguar yesterday debuted not one but three new designs comprising a wordmark monogram an 1952 chars,Neutral,0.472652047872543,2024-11-20,anger,0.474041014909744,baffling woke,3,aired social,3,british luxury,12
Digiday,Kristina Monllos,‘The most controversial rebrand of the year’: Understanding the tightrope that legacy brands like Jaguar walk during a rebrand,"Jaguar’s attempt at a sleek, ultra-modern rebrand replete with art-house aesthetics has been the talk of the water cooler – excuse me, LinkedIn – this week.","Its got to be hard to be a heritage brand.There are so many expectations and so many people to disappoint. Just ask Jaguar. The automakers attempt at a sleek, ultra-modern rebrand replete with art-ho… [+4695 chars]",2024-11-21T05:01:00Z,"‘The most controversial rebrand of the year’: Understanding the tightrope that legacy brands like Jaguar walk during a rebrand Jaguar’s attempt at a sleek, ultra-modern rebrand replete with art-house aesthetics has been the talk of the water cooler – excuse me, LinkedIn – this week. Its got to be hard to be a heritage brand.There are so many expectations and so many people to disappoint. Just ask Jaguar. The automakers attempt at a sleek, ultra-modern rebrand replete with art-ho… [+4695 chars]",The most controversial rebrand of the year Understanding the tightrope that legacy brands like Jaguar walk during a rebrand Jaguars attempt at a sleek ultramodern rebrand replete with arthouse aesthetics has been the talk of the water cooler excuse me LinkedIn this week Its got to be hard to be a heritage brandThere are so many expectations and so many people to disappoint Just ask Jaguar The automakers attempt at a sleek ultramodern rebrand replete with artho 4695 chars,Negative,0.527635633945465,2024-11-21,sadness,0.370028287172318,lifelong jaguar,3,ailing uk,3,brand jaguar,10
Forbes,"Julian Hayes II, Contributor, 
 Julian Hayes II, Contributor
 https://www.forbes.com/sites/julianhayesii/",Was The Jaguar Rebrand The Right Call? 3 Vital Lessons For CEOs?,Jaguars's rebrand has ignited a wave of debate. This attempted rebrand offers three critical lessons for CEOs attempting to revitalize their teams and workplaces.,"Jaguar's rebranding efforts has been met with a lot of resistance.
Getty Images
Business success requires adapting to the times. This adaptation spans a range of elementshow services are delivered,… [+5245 chars]",2024-11-23T20:45:44Z,"Was The Jaguar Rebrand The Right Call? 3 Vital Lessons For CEOs? Jaguars's rebrand has ignited a wave of debate. This attempted rebrand offers three critical lessons for CEOs attempting to revitalize their teams and workplaces. Jaguar's rebranding efforts has been met with a lot of resistance.
Getty Images
Business success requires adapting to the times. This adaptation spans a range of elementshow services are delivered,… [+5245 chars]",Was The Jaguar Rebrand The Right Call 3 Vital Lessons For CEOs Jaguarss rebrand has ignited a wave of debate This attempted rebrand offers three critical lessons for CEOs attempting to revitalize their teams and workplaces Jaguars rebranding efforts has been met with a lot of resistance Getty Images Business success requires adapting to the times This adaptation spans a range of elementshow services are delivered 5245 chars,Neutral,0.584805607795715,2024-11-23,neutral,0.601311683654785,car brand,3,finally talking,3,promotional video,8
Forbes,"James Morris, Contributor, 
 James Morris, Contributor
 https://www.forbes.com/sites/jamesmorris/",Jaguar Rebrand Is Absolute Genius - Here’s The Reason Why,"There has been much discussion about Jaguar's rebranded image, with many acting like it has destroyed something sacred. But there's method in the madness.","Everyone is talking about the Jaguar rebrand. The 30-second launch video, which dropped four days ago, has come in for particular attention. But theres also the new logo and removal of the growler bi… [+5380 chars]",2024-11-23T21:58:39Z,"Jaguar Rebrand Is Absolute Genius - Here’s The Reason Why There has been much discussion about Jaguar's rebranded image, with many acting like it has destroyed something sacred. But there's method in the madness. Everyone is talking about the Jaguar rebrand. The 30-second launch video, which dropped four days ago, has come in for particular attention. But theres also the new logo and removal of the growler bi… [+5380 chars]",Jaguar Rebrand Is Absolute Genius Heres The Reason Why There has been much discussion about Jaguars rebranded image with many acting like it has destroyed something sacred But theres method in the madness Everyone is talking about the Jaguar rebrand The 30second launch video which dropped four days ago has come in for particular attention But theres also the new logo and removal of the growler bi 5380 chars,Neutral,0.612406432628632,2024-11-23,neutral,0.446819245815277,troubled baffling,3,talking ailing,3,social media,8
Forbes,"Conor Murray, Forbes Staff, 
 Conor Murray, Forbes Staff
 https://www.forbes.com/sites/conormurray/","Jaguar Rebrand Sparks Confusion, Angers Anti-‘Woke’ Critics—Including Elon Musk And Andrew Tate",The company unveiled a new logo and artsy aesthetic in a new advertisement that conspicuously lacks cars.,British luxury vehicle company Jaguar has defended itself against backlash from internet users over its rebrandingincluding a new logo in a colorful new advertisementwith both fans and anti-woke crit… [+4175 chars],2024-11-20T19:45:01Z,"Jaguar Rebrand Sparks Confusion, Angers Anti-‘Woke’ Critics—Including Elon Musk And Andrew Tate The company unveiled a new logo and artsy aesthetic in a new advertisement that conspicuously lacks cars. British luxury vehicle company Jaguar has defended itself against backlash from internet users over its rebrandingincluding a new logo in a colorful new advertisementwith both fans and anti-woke crit… [+4175 chars]",Jaguar Rebrand Sparks Confusion Angers AntiWoke CriticsIncluding Elon Musk And Andrew Tate The company unveiled a new logo and artsy aesthetic in a new advertisement that conspicuously lacks cars British luxury vehicle company Jaguar has defended itself against backlash from internet users over its rebrandingincluding a new logo in a colorful new advertisementwith both fans and antiwoke crit 4175 chars,Neutral,0.573576331138611,2024-11-20,anger,0.721321761608124,jaguar customer,3,exuberant modernism,3,online showing,7
